model,accuracy,macro_f1,mean_latency_ms,throughput_img_per_sec,model_size_mb
baseline,0.9809885931558935,0.9747714680539719,239.97780000790956,4.16705211885033,327.36481189727783
compressed,0.9721166032953105,0.9612746153719229,239.97780000790956,4.16705211885033,327.36481189727783
